TABLE 5-LABOR SERVICES

Labor services Weekly Hourly Hours

Year Price Quantity Value Quality Employment hours compensation worked
1948 0.08 1,924.6 156.1 0.75 61,536 39.1 1.2 125,127
1949 0.09 1,860.0 171.5 0.75 60,437 38.5 1.4 121,088
1950 0.09 1,961.0 179.2 0.76 62,424 38.5 1.4 125,144
1951 0.10 2,133.0 214.4 0.78 66,169 38.7 1.6 133,145
1952 0.10 2,197.2 227.2 0.79 67,407 38.5 1.7 135,067
1953 0.11 2,254.3 241.8 0.80 68,471 38.3 1.8 136,331
1954 0.11 2,190.3 243.9 0.81 66,843 37.8 1.9 131,477
1955 0.11 2,254.9 256.7 0.81 68,367 37.8 1.9 134,523
1956 0.12 2,305.0 275.0 0.82 69,968 37.5 2.0 136,502
1957 0.13 2,305.1 295.5 0.83 70,262 37.0 2.2 135,189
1958 0.14 2,245.3 309.1 0.83 68,578 36.7 2.4 130,886
1959 0.14 2,322.1 320.1 0.84 70,149 36.8 2.4 134,396
1960 0.15 2,352.2 344.1 0.84 71,128 36.5 2.5 135,171
1961 0.15 2,378.5 355.0 0.86 71,183 36.3 2.6 134,451
1962 0.15 2,474.1 376.7 0.87 72,673 36.4 2.7 137,612
1963 0.15 2,511.4 386.2 0.88 73,413 36.4 2.8 139,050
1964 0.16 2,578.1 417.6 0.88 74,990 36.3 3.0 141,447
1965 0.17 2,670.6 451.9 0.89 77,239 36.3 3.1 145,865
1966 0.18 2,788.5 500.3 0.89 80,802 36.0 3.3 151,448
1967 0.19 2,842.4 525.5 0.90 82,645 35.7 3.4 153,345
1968 0.20 2,917.0 588.3 0.91 84,733 35.5 3.8 156,329
1969 0.22 2,992.1 646.6 0.91 87,071 35.4 4.0 160,174
1970 0.23 2,938.6 687.3 0.91 86,867 34.9 4.4 157,488
1971 0.26 2,924.9 744.5 0.90 86,715 34.8 4.7 156,924
1972 0.27 3,011.7 817.6 0.91 88,838 34.8 5.1 160,873
1973 0.29 3,135.0 909.4 0.91 92,542 34.8 5.4 167,271
1974 0.31 3,148.2 988.5 0.91 94,121 34.2 5.9 167,425
1975 0.35 3,082.9 1,063.9 0.92 92,575 33.8 6.5 162,879
1976 0.38 3,174.4 1,194.0 0.92 94,922 33.9 7.1 167,169
1977 0.41 3,277.4 1,334.5 0.92 98,202 33.8 7.7 172,780
1978 0.44 3,430.3 1,504.2 0.92 102,931 33.8 8.3 180,842
1979 0.47 3,554.7 1,673.2 0.92 106,463 33.7 9.0 186,791
1980 0.52 3,535.7 1,827.9 0.92 107,061 33.3 9.9 185,591
1981 0.55 3,563.8 1,968.8 0.93 108,050 33.2 10.6 186,257
1982 0.60 3,519.7 2,096.3 0.93 106,749 32.9 11.5 182,772
1983 0.63 3,586.7 2,269.8 0.94 107,810 33.1 12.2 185,457
1984 0.66 3,786.7 2,499.1 0.94 112,604 33.2 12.9 194,555
1985 0.69 3,882.9 2,679.0 0.95 115,205 33.1 13.5 198,445
1986 0.75 3,926.3 2,931.1 0.95 117,171 32.9 14.6 200,242
1987 0.74 4,075.1 3,019.7 0.96 120,474 32.9 14.6 206,312
1988 0.75 4,207.7 3,172.2 0.96 123,927 32.9 15.0 211,918
1989 0.80 4,348.4 3,457.8 0.97 126,755 33.0 15.9 217,651
1990 0.84 4,381.5 3,680.8 0.97 128,341 32.9 16.8 219,306
1991 0.88 4,322.0 3,800.2 0.98 127,080 32.5 17.7 214,994
1992 0.94 4,353.9 4,086.9 0.98 127,238 32.6 19.0 215,477
1993 0.96 4,497.4 4,297.7 0.99 129,770 32.8 19.5 221,003
1994 0.96 4,628.3 4,453.1 0.99 132,799 32.9 19.6 226,975
1995 0.98 4,770.7 4,660.5 1.00 135,672 33.0 20.0 232,545
1996 1.00 4,861.7 4,861.7 1.00 138,018 32.8 20.6 235,798
1997 1.03 4,987.9 5,122.0 1.00 141,184 33.0 21.1 242,160
1998 1.08 5,108.8 5,491.5 1.00 144,305 33.0 22.2 247,783
1999 1.12 5,204.8 5,823.4 1.00 147,036 32.9 23.1 251,683
Notes: Value is in billions of current dollars. Quantity is in billions of 1996 dollars. Price and quality are normalized to one
in 1996. Employment is in thousands of workers. Weekly hours is hours per worker, divided by 52. Hourly compensation is
in current dollars. Hours worked are in millions of hours.
