TABLE 4- INFORMATION TECHNOLOGY CAPITAL SERVICES AND GROSS DOMESTIC INCOME
Gross domestic

Computer Software Communications Total IT income
Year Value Price Value Price Value Price Value Price Value Price
1948 1.7 1.20 1.7 4.31 307.7 0.14

1949 1.3 0.79 1.3 2.83 297.0 0.14

1950 1.8 0.91 1.8 3.27 339.0 0.15

1951 2.1 0.90 2.1 3.21 370.6 0.15

1952 2.6 0.94 2.6 3.36 387.4 0.15

1953 3.2 0.96 3.2 3.46 418.2 0.15

1954 2.7 0.70 2.7 2.49 418.3 0.15

1955 3.6 0.85 3.6 3.05 461.3 0.16

1956 4.2 0.87 4.2 3.12 484.7 0.17

1957 3.7 0.68 3.7 2.44 503.6 0.17

1958 4.1 0.68 4.1 2.45 507.2 0.17

1959 0.2 444.36 0.1 0.63 5.2 0.80 5.5 2.87 551.9 0.18
1960 0.2 433.59 0.1 0.62 5.4 0.75 5.6 2.68 564.9 0.18
1961 0.3 637.21 0.1 0.58 5.6 0.71 6.0 2.59 581.8 0.18
1962 0.4 508.68 0.2 0.62 6.6 0.76 7.2 2.71 623.3 0.19
1963 0.6 311.81 0.3 0.58 6.5 0.67 7.3 2.34 666.9 0.20
1964 0.8 211.28 0.4 0.60 7.1 0.67 8.3 2.26 726.5 0.21
1965 1.3 182.17 0.6 0.59 9.1 0.78 11.0 2.52 795.1 0.22
1966 2.2 173.57 1.0 0.64 9.6 0.73 12.8 2.40 871.3 0.23
1967 2.3 110.97 1.1 0.50 9.8 0.66 13.2 2.01 918.2 0.23
1968 2.6 87.05 1.6 0.60 10.2 0.61 14.5 1.86 973.0 0.24
1969 2.8 68.23 1.7 0.52 11.3 0.61 15.8 1.76 1,045.8 0.25
1970 3.6 65.38 2.3 0.56 13.3 0.65 19.1 1.83 1,105.2 0.26
1971 5.2 72.48 3.7 0.77 14.9 0.67 23.9 1.99 1,178.8 0.27
1972 4.9 48.57 4.0 0.71 16.6 0.69 25.4 1.85 1,336.2 0.30
1973 4.4 33.06 4.5 0.71 22.8 0.88 31.7 2.04 1,502.5 0.32
1974 6.6 38.82 5.1 0.70 20.3 0.72 32.0 1.84 1,605.9 0.34
1975 5.9 28.43 6.7 0.80 23.2 0.77 35.7 1.85 1,785.8 0.37
1976 6.6 26.07 7.7 0.81 25.0 0.78 39.2 1.84 2,017.5 0.41
1977 7.0 20.69 8.4 0.82 41.8 1.20 57.2 2.40 2,235.7 0.44
1978 11.8 22.49 9.7 0.86 35.5 0.93 57.0 2.07 2,517.7 0.47
1979 11.6 13.33 11.6 0.90 47.9 1.14 71.1 2.15 2,834.9 0.51
1980 16.6 11.81 13.6 0.91 42.0 0.90 72.2 1.82 2,964.5 0.53
1981 17.7 7.89 15.5 0.90 40.5 0.79 73.6 1.53 3,285.2 0.58
1982 19.6 5.93 17.6 0.89 43.1 0.77 80.3 1.41 3,445.4 0.60
1983 26.4 5.46 20.6 0.91 49.4 0.82 96.4 1.43 3,798.8 0.66
1984 36.1 4.87 25.4 0.96 54.3 0.83 115.7 1.41 4,288.1 0.71
1985 39.6 3.70 30.6 0.99 63.1 0.89 133.3 1.35 4,542.6 0.73
1986 43.1 3.04 35.3 0.99 69.3 0.89 147.6 1.27 4,657.4 0.73
1987 53.4 2.93 42.1 1.04 86.5 1.02 181.9 1.36 5,078.1 0.77
1988 52.7 2.31 50.5 1.10 104.1 1.14 207.3 1.36 5,652.0 0.81
1989 57.6 2.08 60.4 1.13 105.8 1.07 223.8 1.29 5,988.8 0.84
1990 64.7 2.01 67.2 1.08 109.8 1.04 241.7 1.25 6,284.9 0.86
1991 64.2 1.76 70.8 1.00 104.2 0.93 239.2 1.12 6,403.3 0.88
1992 71.7 1.66 89.9 1.11 112.2 0.96 273.7 1.16 6,709.9 0.91
1993 77.8 1.45 90.4 0.98 126.9 1.03 295.1 1.11 6,988.8 0.92
1994 80.1 1.19 109.5 1.05 142.4 1.10 331.9 1.10 7,503.9 0.96
1995 99.3 1.12 115.5 0.99 160.7 1.16 375.6 1.09 7,815.3 0.96
1996 123.6 1.00 131.9 1.00 149.0 1.00 404.5 1.00 8,339.0 1.00
1997 134.7 0.76 156.2 1.02 157.1 0.98 448.1 0.92 9,009.4 1.04
1998 152.5 0.59 178.2 0.97 162.0 0.93 492.6 0.82 9,331.1 1.04
1999 157.7 0.42 204.4 0.91 175.3 0.91 537.4 0.72 9,817.4 1.06
Notes: Values are in billions of current dollars. Prices are normalized to one in 1996.
